Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
42         6          1         
42         7          1         
42         8          1         
42         9          1         
42         TotalExcRef 10        
43         0          1         
43         1          1         
43         2          1         
43         3          1         
43         4          1         
43         5          1         
43         6          1         
43         7          1         
43         8          1         
43         9          1         
43         TotalExcRef 10        
44         0          1         
44         1          1         
44         2          1         
44         3          1         
44         4          1         
44         5          1         
44         6          1         
44         7          1         
44         8          1         
44         9          1         
44         TotalExcRef 10        
45         0          1         
45         1          1         
45         2          1         
45         3          1         
45         4          1         
45         5          1         
45         6          1         
45         7          1         
45         8          1         
45         9          1         
45         TotalExcRef 10        
46         0          1         
46         1          1         
46         2          1         
46         3          1         
46         4          1         
46         5          1         
46         6          1         
46         7          1         
46         8          1         
46         9          1         
46         TotalExcRef 10        
47         0          1         
47         1          1         
47         2          1         
47         3          1         
47         4          1         
47         5          1         
47         6          1         
47         7          1         
47         8          1         
47         9          1         
47         TotalExcRef 10        
48         0          1         
48         1          1         
48         2          1         
48         3          1         
48         4          1         
48         5          1         
48         6          1         
48         7          1         
48         8          1         
48         9          1         
48         TotalExcRef 10        
49         0          1         
49         1          1         
49         2          1         
49         3          1         
49         4          1         
49         5          1         
49         6          1         
49         7          1         
49         8          1         
49         9          1         
49         TotalExcRef 10        
50         0          1         
50         1          1         
50         2          1         
50         3          1         
50         4          1         
50         5          1         
50         6          1         
50         7          1         
50         8          1         
50         9          1         
50         TotalExcRef 10        
51         0          1         
51         1          1         
51         2          1         
51         3          1         
51         4          1         
51         5          1         
51         6          1         
51         7          1         
51         8          1         
51         9          1         
51         TotalExcRef 10        
57         0          0         
57         1          0         
57         2          0         
57         3          0         
57         4          0         
57         5          0         
57         6          0         
57         7          0         
57         8          0         
57         9          0         
57         TotalExcRef 0         
58         0          0         
58         1          0         
58         2          0         
58         3          0         
58         4          0         
58         5          0         
58         6          0         
58         7          0         
58         8          0         
58         9          0         
58         TotalExcRef 0         
60         0          0         
60         1          0         
60         2          0         
60         3          0         
60         4          0         
60         5          0         
60         6          0         
60         7          0         
60         8          0         
60         9          0         
60         TotalExcRef 0         
61         0          1         
61         1          1         
61         2          1         
61         3          1         
61         4          1         
61         5          1         
61         6          1         
61         7          1         
61         8          1         
61         9          1         
61         TotalExcRef 10        
62         0          1         
62         1          1         
62         2          1         
62         3          1         
62         4          1         
62         5          1         
62         6          1         
62         7          1         
62         8          1         
62         9          1         
62         TotalExcRef 10        
63         0          1         
63         1          1         
63         2          1         
63         3          1         
63         4          1         
63         5          1         
63         6          1         
63         7          1         
63         8          1         
63         9          1         
63         TotalExcRef 10        
64         0          1         
64         1          1         
64         2          1         
64         3          1         
64         4          1         
64         5          1         
64         6          1         
64         7          1         
64         8          1         
64         9          1         
64         TotalExcRef 10        
65         0          1         
65         1          1         
65         2          1         
65         3          1         
65         4          1         
65         5          1         
65         6          1         
65         7          1         
65         8          1         
65         9          1         
65         TotalExcRef 10        
66         0          1         
66         1          1         
66         2          1         
66         3          1         
66         4          1         
66         5          1         
66         6          1         
66         7          1         
66         8          1         
66         9          1         
66         TotalExcRef 10        
67         0          1         
67         1          1         
67         2          1         
67         3          1         
67         4          1         
67         5          1         
67         6          1         
67         7          1         
67         8          1         
67         9          1         
67         TotalExcRef 10        
68         0          1         
68         1          1         
68         2          1         
68         3          1         
68         4          1         
68         5          1         
68         6          1         
68         7          1         
68         8          1         
68         9          1         
68         TotalExcRef 10        
69         0          1         
69         1          1         
69         2          1         
69         3          1         
69         4          1         
69         5          1         
69         6          1         
69         7          1         
69         8          1         
69         9          1         
69         TotalExcRef 10        
70         0          1         
70         1          1         
70         2          1         
70         3          1         
70         4          1         
70         5          1         
70         6          1         
70         7          1         
70         8          1         
70         9          1         
70         TotalExcRef 10        
71         0          1         
71         1          1         
71         2          1         
71         3          1         
71         4          1         
71         5          1         
71         6          1         
71         7          1         
71         8          1         
71         9          1         
71         TotalExcRef 10        
72         0          1         
72         1          1         
72         2          1         
72         3          1         
72         4          1         
72         5          1         
72         6          1         
72         7          1         
72         8          1         
72         9          1         
72         TotalExcRef 10        
73         0          1         
73         1          1         
73         2          1         
73         3          1         
73         4          1         
73         5          1         
73         6          1         
73         7          1         
73         8          1         
73         9          1         
73         TotalExcRef 10        
74         0          1         
74         1          1         
74         2          1         
74         3          1         
74         4          1         
74         5          1         
74         6          1         
74         7          1         
74         8          1         
74         9          1         
74         TotalExcRef 10        
75         0          1         
75         1          1         
75         2          1         
75         3          1         
75         4          1         
75         5          1         
75         6          1         
75         7          1         
75         8          1         
75         9          1         
75         TotalExcRef 10        
78         0          0         
78         1          0         
78         2          0         
78         3          0         
78         4          0         
78         5          0         
78         6          0         
78         7          0         
78         8          0         
78         9          0         
78         TotalExcRef 0         
79         0          0         
79         1          0         
79         2          0         
79         3          0         
79         4          0         
79         5          0         
79         6          0         
79         7          0         
79         8          0         
79         9          0         
79         TotalExcRef 0         
80         0          0         
80         1          0         
80         2          0         
80         3          0         
80         4          0         
80         5          0         
80         6          0         
80         7          0         
80         8          0         
80         9          0         
80         TotalExcRef 0         
81         0          0         
81         1          0         
81         2          0         
81         3          0         
81         4          0         
81         5          0         
81         6          0         
81         7          0         
81         8          0         
81         9          0         
81         TotalExcRef 0         
82         0          0         
82         1          0         
82         2          0         
82         3          0         
82         4          0         
82         5          0         
82         6          0         
82         7          0         
82         8          0         
82         9          0         
82         TotalExcRef 0         
86         0          0         
86         1          0         
86         2          0         
86         3          0         
86         4          0         
86         5          0         
86         6          0         
86         7          0         
86         8          0         
86         9          0         
86         TotalExcRef 0         
90         0          10        
90         1          10        
90         2          10        
90         3          10        
90         4          10        
90         5          10        
90         6          10        
90         7          10        
90         8          10        
90         9          10        
90         TotalExcRef 100       
92         0          10        
92         1          10        
92         2          10        
92         3          10        
92         4          10        
92         5          10        
92         6          10        
92         7          10        
92         8          10        
92         9          10        
92         TotalExcRef 100       
93         0          10        
93         1          10        
93         2          10        
93         3          10        
93         4          10        
93         5          10        
93         6          10        
93         7          10        
93         8          10        
93         9          10        
93         TotalExcRef 100       
94         0          110       
94         1          110       
94         2          110       
94         3          110       
94         4          110       
94         5          110       
94         6          110       
94         7          110       
94         8          110       
94         9          110       
94         TotalExcRef 1100      
95         0          110       
95         1          110       
95         2          110       
95         3          110       
95         4          110       
95         5          110       
95         6          110       
95         7          110       
95         8          110       
95         9          110       
95         TotalExcRef 1100      
97         0          100       
97         1          100       
97         2          100       
97         3          100       
97         4          100       
97         5          100       
97         6          100       
97         7          100       
97         8          100       
97         9          100       
97         TotalExcRef 1000      
98         0          100       
98         1          100       
98         2          100       
98         3          100       
98         4          100       
98         5          100       
98         6          100       
98         7          100       
98         8          100       
98         9          100       
