contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
130 perturbation point
PM : Numerical Perturbator
7 datasets
Picked up in the data set provided by Weka.
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
1           0          0          0          0          0          0              NaN                        
5           0          0          0          0          0          0              NaN                        
10          0          0          0          0          0          0              NaN                        
20          0          0          0          0          0          0              NaN                        
50          0          0          0          0          0          0              NaN                        
75          0          0          0          0          0          0              NaN                        
100         0          0          0          0          0          0              NaN                        
1           4          0          0          0          0          0              NaN                        
5           4          0          0          0          0          0              NaN                        
10          4          0          0          0          0          0              NaN                        
20          4          0          0          0          0          0              NaN                        
50          4          0          0          0          0          0              NaN                        
75          4          0          0          0          0          0              NaN                        
100         4          0          0          0          0          0              NaN                        
1           5          0          0          0          0          0              NaN                        
5           5          0          0          0          0          0              NaN                        
10          5          0          0          0          0          0              NaN                        
20          5          0          0          0          0          0              NaN                        
50          5          0          0          0          0          0              NaN                        
75          5          0          0          0          0          0              NaN                        
100         5          0          0          0          0          0              NaN                        
1           6          700        0          0          70000      700            -------------------- 100,00
5           6          700        0          0          70000      700            -------------------- 100,00
10          6          700        0          0          70000      700            -------------------- 100,00
20          6          124        576        0          66850      700            ---- 17,71                 
50          6          124        576        0          66850      700            ---- 17,71                 
75          6          124        576        0          66850      700            ---- 17,71                 
100         6          124        576        0          66850      700            ---- 17,71                 
1           7          700        0          0          70000      700            -------------------- 100,00
5           7          700        0          0          70000      700            -------------------- 100,00
10          7          700        0          0          70000      700            -------------------- 100,00
20          7          700        0          0          70000      700            -------------------- 100,00
50          7          700        0          0          70000      700            -------------------- 100,00
75          7          700        0          0          70000      700            -------------------- 100,00
100         7          700        0          0          70000      700            -------------------- 100,00
1           8          700        0          0          70000      700            -------------------- 100,00
5           8          700        0          0          70000      700            -------------------- 100,00
10          8          700        0          0          70000      700            -------------------- 100,00
20          8          700        0          0          70000      700            -------------------- 100,00
50          8          700        0          0          70000      700            -------------------- 100,00
75          8          700        0          0          70000      700            -------------------- 100,00
100         8          700        0          0          70000      700            -------------------- 100,00
1           9          700        0          0          70000      700            -------------------- 100,00
5           9          700        0          0          70000      700            -------------------- 100,00
10          9          700        0          0          70000      700            -------------------- 100,00
20          9          700        0          0          70000      700            -------------------- 100,00
50          9          700        0          0          70000      700            -------------------- 100,00
75          9          700        0          0          70000      700            -------------------- 100,00
100         9          700        0          0          70000      700            -------------------- 100,00
1           10         700        0          0          70000      700            -------------------- 100,00
5           10         700        0          0          70000      700            -------------------- 100,00
10          10         700        0          0          70000      700            -------------------- 100,00
20          10         124        576        0          66850      700            ---- 17,71                 
50          10         124        576        0          66850      700            ---- 17,71                 
75          10         124        576        0          66850      700            ---- 17,71                 
100         10         124        576        0          66850      700            ---- 17,71                 
1           11         700        0          0          70000      700            -------------------- 100,00
5           11         700        0          0          70000      700            -------------------- 100,00
10          11         700        0          0          70000      700            -------------------- 100,00
20          11         700        0          0          70000      700            -------------------- 100,00
50          11         700        0          0          70000      700            -------------------- 100,00
75          11         700        0          0          70000      700            -------------------- 100,00
100         11         700        0          0          70000      700            -------------------- 100,00
1           12         700        0          0          70000      700            -------------------- 100,00
5           12         700        0          0          70000      700            -------------------- 100,00
10          12         700        0          0          70000      700            -------------------- 100,00
20          12         700        0          0          70000      700            -------------------- 100,00
50          12         700        0          0          70000      700            -------------------- 100,00
75          12         700        0          0          70000      700            -------------------- 100,00
100         12         700        0          0          70000      700            -------------------- 100,00
1           13         700        0          0          70000      700            -------------------- 100,00
5           13         700        0          0          70000      700            -------------------- 100,00
10          13         700        0          0          70000      700            -------------------- 100,00
20          13         700        0          0          70000      700            -------------------- 100,00
50          13         700        0          0          70000      700            -------------------- 100,00
75          13         700        0          0          70000      700            -------------------- 100,00
100         13         700        0          0          70000      700            -------------------- 100,00
1           14         700        0          0          70000      700            -------------------- 100,00
5           14         700        0          0          70000      700            -------------------- 100,00
10          14         700        0          0          70000      700            -------------------- 100,00
20          14         700        0          0          70000      700            -------------------- 100,00
50          14         700        0          0          70000      700            -------------------- 100,00
75          14         700        0          0          70000      700            -------------------- 100,00
100         14         700        0          0          70000      700            -------------------- 100,00
1           15         700        0          0          70000      700            -------------------- 100,00
5           15         700        0          0          70000      700            -------------------- 100,00
10          15         700        0          0          70000      700            -------------------- 100,00
20          15         700        0          0          70000      700            -------------------- 100,00
50          15         700        0          0          70000      700            -------------------- 100,00
75          15         700        0          0          70000      700            -------------------- 100,00
100         15         700        0          0          70000      700            -------------------- 100,00
1           16         700        0          0          70000      700            -------------------- 100,00
5           16         700        0          0          70000      700            -------------------- 100,00
10          16         700        0          0          70000      700            -------------------- 100,00
20          16         700        0          0          70000      700            -------------------- 100,00
50          16         700        0          0          70000      700            -------------------- 100,00
75          16         700        0          0          70000      700            -------------------- 100,00
100         16         700        0          0          70000      700            -------------------- 100,00
1           17         700        0          0          70000      700            -------------------- 100,00
5           17         700        0          0          70000      700            -------------------- 100,00
10          17         700        0          0          70000      700            -------------------- 100,00
20          17         124        576        0          66850      700            ---- 17,71                 
50          17         124        576        0          66850      700            ---- 17,71                 
