aggregate data per location for random rate = 0.005 and with Perturbator = 1
Exploration Plus One
PONE : plus one perturbator
10 datasets
Picked up in the directory resources/classifier
297 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #Tasks     %Success                   
249        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
250        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
251        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
252        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
253        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
254        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
255        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
256        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
257        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
258        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
259        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
260        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
261        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
262        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
263        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
264        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
265        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
266        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
267        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
268        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
269        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
270        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
271        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
272        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
273        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
274        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
275        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
276        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
277        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
278        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
279        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
280        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
281        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
282        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
283        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
284        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
285        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
286        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
287        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
288        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
289        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
290        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
291        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
292        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
293        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
294        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
295        50         0          0          0                  0,00               0              0,00                     50         10         NaN                        
