contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
123 perturbation point
PM : Numerical Perturbator
1 files of 100 chararacters
Random characters generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
100         28         0          0          0          0          0              NaN                        
1           31         0          0          0          0          0              NaN                        
5           31         0          0          0          0          0              NaN                        
10          31         0          0          0          0          0              NaN                        
20          31         0          0          0          0          0              NaN                        
50          31         0          0          0          0          0              NaN                        
75          31         0          0          0          0          0              NaN                        
100         31         0          0          0          0          0              NaN                        
1           32         0          0          0          0          0              NaN                        
5           32         0          0          0          0          0              NaN                        
10          32         0          0          0          0          0              NaN                        
20          32         0          0          0          0          0              NaN                        
50          32         0          0          0          0          0              NaN                        
75          32         0          0          0          0          0              NaN                        
100         32         0          0          0          0          0              NaN                        
1           33         0          0          0          0          0              NaN                        
5           33         0          0          0          0          0              NaN                        
10          33         0          0          0          0          0              NaN                        
20          33         0          0          0          0          0              NaN                        
50          33         0          0          0          0          0              NaN                        
75          33         0          0          0          0          0              NaN                        
100         33         0          0          0          0          0              NaN                        
1           34         0          0          0          0          0              NaN                        
5           34         0          0          0          0          0              NaN                        
10          34         0          0          0          0          0              NaN                        
20          34         0          0          0          0          0              NaN                        
50          34         0          0          0          0          0              NaN                        
75          34         0          0          0          0          0              NaN                        
100         34         0          0          0          0          0              NaN                        
1           35         0          0          0          0          0              NaN                        
5           35         0          0          0          0          0              NaN                        
10          35         0          0          0          0          0              NaN                        
20          35         0          0          0          0          0              NaN                        
50          35         0          0          0          0          0              NaN                        
75          35         0          0          0          0          0              NaN                        
100         35         0          0          0          0          0              NaN                        
1           36         0          0          0          0          0              NaN                        
5           36         0          0          0          0          0              NaN                        
10          36         0          0          0          0          0              NaN                        
20          36         0          0          0          0          0              NaN                        
50          36         0          0          0          0          0              NaN                        
75          36         0          0          0          0          0              NaN                        
100         36         0          0          0          0          0              NaN                        
1           37         0          0          0          0          0              NaN                        
5           37         0          0          0          0          0              NaN                        
10          37         0          0          0          0          0              NaN                        
20          37         0          0          0          0          0              NaN                        
50          37         0          0          0          0          0              NaN                        
75          37         0          0          0          0          0              NaN                        
100         37         0          0          0          0          0              NaN                        
1           39         0          0          0          0          0              NaN                        
5           39         0          0          0          0          0              NaN                        
10          39         0          0          0          0          0              NaN                        
20          39         0          0          0          0          0              NaN                        
50          39         0          0          0          0          0              NaN                        
75          39         0          0          0          0          0              NaN                        
100         39         0          0          0          0          0              NaN                        
1           40         0          0          0          0          0              NaN                        
5           40         0          0          0          0          0              NaN                        
10          40         0          0          0          0          0              NaN                        
20          40         0          0          0          0          0              NaN                        
50          40         0          0          0          0          0              NaN                        
75          40         0          0          0          0          0              NaN                        
100         40         0          0          0          0          0              NaN                        
1           43         0          0          0          0          0              NaN                        
5           43         0          0          0          0          0              NaN                        
10          43         0          0          0          0          0              NaN                        
20          43         0          0          0          0          0              NaN                        
50          43         0          0          0          0          0              NaN                        
75          43         0          0          0          0          0              NaN                        
100         43         0          0          0          0          0              NaN                        
1           44         0          0          0          0          0              NaN                        
5           44         0          0          0          0          0              NaN                        
10          44         0          0          0          0          0              NaN                        
20          44         0          0          0          0          0              NaN                        
50          44         0          0          0          0          0              NaN                        
75          44         0          0          0          0          0              NaN                        
100         44         0          0          0          0          0              NaN                        
1           45         0          0          0          0          0              NaN                        
