Loc P     Succ Pull
642 0,67  2    3   
643 NaN   0    0   
644 NaN   0    0   
645 1,00  5    5   
646 1,00  4    4   
647 1,00  4    4   
648 1,00  5    5   
649 1,00  5    5   
650 1,00  5    5   
651 1,00  4    4   
652 1,00  5    5   
653 1,00  4    4   
654 1,00  4    4   
655 1,00  4    4   
656 NaN   0    0   
657 1,00  4    4   
658 1,00  4    4   
659 1,00  4    4   
660 1,00  4    4   
661 1,00  5    5   
662 1,00  5    5   
663 1,00  5    5   
664 1,00  5    5   
665 0,33  1    3   
666 1,00  5    5   
667 1,00  5    5   
668 NaN   0    0   
669 NaN   0    0   
670 NaN   0    0   
671 NaN   0    0   
672 1,00  4    4   
673 1,00  4    4   
674 1,00  5    5   
675 NaN   0    0   
676 0,75  3    4   
677 1,00  4    4   
678 1,00  5    5   
679 1,00  5    5   
680 1,00  4    4   
681 1,00  4    4   
682 1,00  4    4   
683 1,00  5    5   
684 1,00  4    4   
685 1,00  5    5   
686 0,67  2    3   
687 0,75  3    4   
688 0,00  0    2   
689 0,00  0    2   
690 1,00  4    4   
691 0,00  0    2   
692 0,00  0    2   
693 1,00  4    4   
694 0,67  2    3   
695 1,00  4    4   
696 0,00  0    2   
697 0,00  0    2   
698 0,67  2    3   
699 0,75  3    4   
700 0,00  0    2   
701 0,00  0    2   
702 0,00  0    2   
703 0,00  0    2   
704 0,33  1    3   
705 0,00  0    2   
706 0,00  0    2   
707 0,33  1    3   
708 0,75  3    4   
709 0,00  0    2   
710 0,00  0    2   
711 0,00  0    2   
712 0,33  1    3   
713 0,00  0    2   
714 0,75  3    4   
715 1,00  5    5   
716 0,67  2    3   
717 0,67  2    3   
718 0,33  1    3   
719 0,33  1    3   
720 0,67  2    3   
721 0,33  1    3   
722 NaN   0    0   
723 NaN   0    0   
724 0,67  2    3   
725 1,00  4    4   
726 1,00  5    5   
727 1,00  4    4   
728 1,00  4    4   
729 0,67  2    3   
730 1,00  4    4   
731 1,00  4    4   
732 1,00  4    4   
733 0,67  2    3   
734 1,00  4    4   
735 1,00  5    5   
736 1,00  5    5   
737 1,00  4    4   
738 1,00  4    4   
739 1,00  4    4   
740 1,00  4    4   
741 NaN   0    0   
742 NaN   0    0   
743 0,00  0    2   
744 0,00  0    2   
745 0,67  2    3   
746 1,00  4    4   
747 0,75  3    4   
748 0,00  0    2   
749 0,00  0    2   
750 0,00  0    2   
751 1,00  5    5   
752 1,00  5    5   
753 NaN   0    0   
754 NaN   0    0   
755 NaN   0    0   
756 NaN   0    0   
757 NaN   0    0   
758 NaN   0    0   
759 1,00  4    4   
760 1,00  4    4   
761 1,00  4    4   
762 NaN   0    0   
763 NaN   0    0   
764 NaN   0    0   
765 NaN   0    0   
766 NaN   0    0   
767 NaN   0    0   
768 1,00  4    4   
769 0,33  1    3   
770 1,00  4    4   
771 0,00  0    2   
772 0,00  0    2   
773 0,00  0    2   
774 1,00  4    4   
775 0,00  0    2   
776 0,00  0    2   
777 0,00  0    2   
778 0,00  0    2   
779 0,00  0    2   
780 1,00  4    4   
781 0,67  2    3   
782 0,00  0    2   
783 NaN   0    0   
784 0,00  0    2   
785 0,00  0    2   
786 0,00  0    2   
787 1,00  5    5   
788 1,00  4    4   
789 NaN   0    0   
790 NaN   0    0   
791 0,00  0    2   
792 1,00  5    5   
793 0,00  0    2   
794 1,00  4    4   
795 1,00  5    5   
796 1,00  5    5   
797 1,00  4    4   
798 1,00  5    5   
799 0,00  0    2   
800 1,00  4    4   
801 0,67  2    3   
802 1,00  4    4   
803 1,00  4    4   
804 1,00  5    5   
805 1,00  5    5   
806 1,00  5    5   
807 1,00  5    5   
808 1,00  5    5   
