Loc P     Succ Pull
289 0,00  0    12  
290 0,00  0    21  
291 0,00  0    15  
292 0,00  0    17  
293 0,00  0    15  
294 0,00  0    12  
295 0,00  0    16  
296 0,00  0    16  
297 0,00  0    11  
298 0,00  0    37  
299 0,00  0    7   
300 0,00  0    10  
301 0,00  0    17  
302 0,00  0    15  
303 0,00  0    8   
304 0,00  0    20  
305 0,00  0    11  
306 0,00  0    20  
307 0,00  0    18  
308 0,00  0    15  
309 0,08  1    13  
310 0,06  1    18  
311 0,00  0    21  
312 0,00  0    8   
313 0,00  0    13  
314 0,00  0    15  
315 0,00  0    9   
316 0,00  0    12  
317 0,00  0    21  
318 0,00  0    20  
319 NaN   0    0   
320 NaN   0    0   
321 NaN   0    0   
322 0,00  0    22  
323 0,00  0    16  
324 0,00  0    14  
325 0,00  0    10  
326 0,00  0    18  
327 0,00  0    22  
328 0,00  0    11  
329 0,00  0    11  
330 NaN   0    0   
331 NaN   0    0   
332 0,00  0    21  
333 0,00  0    12  
334 0,00  0    23  
335 NaN   0    0   
336 NaN   0    0   
337 0,00  0    11  
338 0,00  0    13  
339 0,00  0    23  
340 0,00  0    15  
341 0,00  0    15  
342 0,00  0    13  
343 NaN   0    0   
344 0,00  0    22  
345 0,00  0    8   
346 0,00  0    15  
347 0,00  0    22  
348 0,00  0    19  
349 0,00  0    23  
350 0,00  0    20  
351 0,00  0    11  
352 0,00  0    8   
353 0,00  0    7   
354 0,00  0    18  
355 0,00  0    21  
356 0,00  0    12  
357 0,00  0    9   
358 0,00  0    26  
359 0,00  0    21  
360 NaN   0    0   
361 NaN   0    0   
362 0,00  0    12  
363 0,00  0    14  
364 0,00  0    10  
365 NaN   0    0   
366 0,07  1    14  
367 0,00  0    17  
368 0,00  0    14  
369 0,00  0    15  
370 0,00  0    9   
371 0,00  0    19  
372 0,00  0    11  
373 0,06  1    17  
374 0,00  0    19  
375 NaN   0    0   
376 0,00  0    24  
377 0,00  0    14  
378 NaN   0    0   
379 NaN   0    0   
380 0,00  0    10  
381 0,00  0    12  
382 0,00  0    16  
383 0,00  0    12  
384 0,00  0    12  
385 0,00  0    11  
386 0,00  0    4   
387 0,00  0    10  
388 0,00  0    15  
389 0,00  0    16  
390 0,00  0    12  
391 0,00  0    21  
392 0,11  1    9   
393 0,00  0    18  
394 0,03  1    32  
395 0,00  0    11  
396 0,00  0    17  
397 0,00  0    33  
398 0,00  0    10  
399 0,06  1    17  
400 0,00  0    15  
401 NaN   0    0   
402 0,00  0    15  
403 0,00  0    13  
404 0,00  0    21  
405 0,00  0    27  
406 0,00  0    9   
407 0,00  0    9   
408 0,05  1    21  
409 0,04  1    28  
410 0,00  0    9   
411 0,00  0    11  
412 0,00  0    11  
413 0,00  0    18  
414 0,00  0    51  
415 0,00  0    10  
416 0,00  0    13  
417 0,00  0    14  
418 0,00  0    11  
419 0,00  0    18  
420 0,00  0    14  
421 0,00  0    16  
422 0,00  0    18  
423 0,00  0    22  
424 0,00  0    20  
425 0,00  0    27  
426 0,00  0    10  
427 0,00  0    10  
428 0,00  0    19  
429 0,00  0    22  
430 0,00  0    12  
431 0,00  0    21  
432 0,00  0    23  
433 0,00  0    23  
434 0,00  0    16  
435 0,00  0    13  
436 0,00  0    9   
437 0,00  0    9   
438 NaN   0    0   
439 NaN   0    0   
440 0,00  0    9   
441 0,00  0    18  
442 NaN   0    0   
443 0,00  0    21  
444 0,00  0    8   
445 NaN   0    0   
446 0,00  0    11  
447 0,00  0    14  
448 NaN   0    0   
449 NaN   0    0   
450 0,00  0    7   
451 0,07  1    15  
452 0,00  0    18  
453 0,00  0    11  
454 0,00  0    14  
455 NaN   0    0   
456 NaN   0    0   
457 0,00  0    12  
458 0,00  0    9   
459 0,00  0    19  
460 0,00  0    11  
461 0,00  0    12  
462 0,00  0    10  
463 0,00  0    13  
464 0,00  0    19  
465 0,00  0    9   
466 0,00  0    13  
467 0,00  0    31  
468 0,00  0    14  
469 0,00  0    15  
470 0,00  0    14  
471 0,07  1    14  
472 0,00  0    13  
473 0,00  0    11  
474 0,00  0    18  
475 0,00  0    5   
476 0,00  0    18  
477 0,00  0    12  
478 NaN   0    0   
479 0,00  0    12  
480 0,00  0    11  
481 NaN   0    0   
482 0,00  0    13  
483 NaN   0    0   
484 0,00  0    15  
485 0,00  0    12  
486 0,00  0    10  
487 0,00  0    26  
488 0,00  0    11  
489 0,00  0    18  
490 NaN   0    0   
491 0,00  0    13  
492 0,00  0    16  
493 0,00  0    18  
494 0,00  0    12  
495 0,00  0    14  
496 0,00  0    11  
497 0,05  1    20  
498 0,00  0    14  
499 0,00  0    18  
500 0,00  0    26  
501 0,00  0    10  
502 0,00  0    17  
503 0,00  0    18  
504 0,00  0    23  
505 0,00  0    27  
506 0,00  0    14  
507 NaN   0    0   
508 NaN   0    0   
509 0,00  0    15  
510 0,00  0    23  
511 0,00  0    19  
512 0,00  0    12  
513 0,00  0    15  
514 0,00  0    11  
515 NaN   0    0   
516 0,00  0    16  
517 0,00  0    12  
518 0,00  0    8   
519 0,00  0    12  
520 0,00  0    14  
521 0,00  0    16  
522 0,03  1    31  
523 0,00  0    11  
524 0,00  0    17  
525 0,00  0    19  
526 0,00  0    14  
527 NaN   0    0   
528 0,00  0    13  
529 0,00  0    21  
530 0,00  0    8   
531 0,00  0    15  
532 0,00  0    6   
533 0,00  0    19  
534 0,00  0    13  
535 NaN   0    0   
536 NaN   0    0   
537 NaN   0    0   
538 NaN   0    0   
539 NaN   0    0   
540 NaN   0    0   
541 NaN   0    0   
542 NaN   0    0   
543 NaN   0    0   
544 NaN   0    0   
545 NaN   0    0   
546 NaN   0    0   
547 NaN   0    0   
548 NaN   0    0   
549 NaN   0    0   
550 NaN   0    0   
551 NaN   0    0   
552 NaN   0    0   
553 NaN   0    0   
554 NaN   0    0   
555 NaN   0    0   
556 NaN   0    0   
557 NaN   0    0   
558 NaN   0    0   
559 NaN   0    0   
560 NaN   0    0   
561 NaN   0    0   
562 NaN   0    0   
563 NaN   0    0   
564 NaN   0    0   
565 NaN   0    0   
566 NaN   0    0   
567 0,00  0    15  
568 0,00  0    6   
569 0,00  0    9   
570 0,00  0    1   
571 0,00  0    18  
572 0,00  0    14  
573 0,00  0    32  
574 0,08  1    12  
575 0,00  0    13  
576 0,00  0    11  
577 0,00  0    11  
578 0,00  0    9   
579 0,00  0    13  
580 0,05  1    19  
581 0,00  0    16  
582 0,00  0    21  
583 0,00  0    29  
584 0,00  0    18  
585 0,00  0    8   
586 0,00  0    7   
587 0,00  0    18  
588 0,00  0    9   
589 0,00  0    34  
590 0,00  0    18  
591 0,00  0    13  
592 0,00  0    12  
593 0,00  0    23  
594 0,00  0    13  
595 0,00  0    8   
596 0,00  0    10  
597 0,00  0    19  
598 0,00  0    17  
599 0,00  0    10  
600 0,00  0    18  
601 0,00  0    24  
602 0,00  0    25  
603 0,00  0    15  
604 0,08  1    13  
605 0,00  0    29  
606 0,00  0    9   
607 0,00  0    20  
608 0,00  0    14  
609 0,00  0    19  
610 0,00  0    9   
611 0,00  0    17  
612 0,00  0    13  
613 0,00  0    20  
614 0,00  0    13  
615 0,00  0    9   
616 0,00  0    14  
617 0,00  0    8   
618 0,00  0    4   
619 0,00  0    12  
620 0,00  0    29  
621 0,00  0    17  
622 0,00  0    25  
623 0,00  0    13  
624 0,00  0    15  
- 0,41
