Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
118        1          0         
118        2          0         
118        TotalExcRef 0         
119        0          0         
119        1          0         
119        2          0         
119        TotalExcRef 0         
120        0          0         
120        1          0         
120        2          0         
120        TotalExcRef 0         
122        0          0         
122        1          0         
122        2          0         
122        TotalExcRef 0         
123        0          0         
123        1          0         
123        2          0         
123        TotalExcRef 0         
126        0          0         
126        1          0         
126        2          0         
126        TotalExcRef 0         
127        0          0         
127        1          0         
127        2          0         
127        TotalExcRef 0         
128        0          0         
128        1          0         
128        2          0         
128        TotalExcRef 0         
129        0          0         
129        1          0         
129        2          0         
129        TotalExcRef 0         
130        0          0         
130        1          0         
130        2          0         
130        TotalExcRef 0         
131        0          0         
131        1          0         
131        2          0         
131        TotalExcRef 0         
132        0          0         
132        1          0         
132        2          0         
132        TotalExcRef 0         
133        0          0         
133        1          0         
133        2          0         
133        TotalExcRef 0         
134        0          0         
134        1          0         
134        2          0         
134        TotalExcRef 0         
136        0          0         
136        1          0         
136        2          0         
136        TotalExcRef 0         
137        0          0         
137        1          0         
137        2          0         
137        TotalExcRef 0         
138        0          0         
138        1          0         
138        2          0         
138        TotalExcRef 0         
139        0          0         
139        1          0         
139        2          0         
139        TotalExcRef 0         
140        0          0         
140        1          0         
140        2          0         
140        TotalExcRef 0         
142        0          0         
142        1          0         
142        2          0         
142        TotalExcRef 0         
143        0          0         
143        1          0         
143        2          0         
143        TotalExcRef 0         
144        0          0         
144        1          0         
144        2          0         
144        TotalExcRef 0         
145        0          0         
145        1          0         
145        2          0         
145        TotalExcRef 0         
146        0          0         
146        1          0         
146        2          0         
146        TotalExcRef 0         
147        0          0         
147        1          0         
147        2          0         
147        TotalExcRef 0         
149        0          0         
149        1          0         
149        2          0         
149        TotalExcRef 0         
150        0          0         
150        1          0         
150        2          0         
150        TotalExcRef 0         
151        0          0         
151        1          0         
151        2          0         
151        TotalExcRef 0         
152        0          0         
152        1          0         
152        2          0         
152        TotalExcRef 0         
153        0          0         
153        1          0         
153        2          0         
153        TotalExcRef 0         
155        0          0         
155        1          0         
155        2          0         
155        TotalExcRef 0         
156        0          0         
156        1          0         
156        2          0         
156        TotalExcRef 0         
157        0          0         
157        1          0         
157        2          0         
157        TotalExcRef 0         
158        0          0         
158        1          0         
158        2          0         
158        TotalExcRef 0         
159        0          0         
159        1          0         
159        2          0         
159        TotalExcRef 0         
160        0          0         
160        1          0         
160        2          0         
160        TotalExcRef 0         
161        0          0         
161        1          0         
161        2          0         
161        TotalExcRef 0         
162        0          0         
162        1          0         
162        2          0         
162        TotalExcRef 0         
164        0          0         
164        1          0         
164        2          0         
164        TotalExcRef 0         
Total execution ref: 2474
