contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
PM : Numerical Perturbator
100 hex string of 16 byte
Random byte generated with 23 as seed
112 perturbation points
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
20          21         0          0          0          0          0              NaN                        
50          21         0          0          0          0          0              NaN                        
75          21         0          0          0          0          0              NaN                        
100         21         0          0          0          0          0              NaN                        
1           22         0          0          0          0          0              NaN                        
5           22         0          0          0          0          0              NaN                        
10          22         0          0          0          0          0              NaN                        
20          22         0          0          0          0          0              NaN                        
50          22         0          0          0          0          0              NaN                        
75          22         0          0          0          0          0              NaN                        
100         22         0          0          0          0          0              NaN                        
1           23         0          0          0          0          0              NaN                        
5           23         0          0          0          0          0              NaN                        
10          23         0          0          0          0          0              NaN                        
20          23         0          0          0          0          0              NaN                        
50          23         0          0          0          0          0              NaN                        
75          23         0          0          0          0          0              NaN                        
100         23         0          0          0          0          0              NaN                        
1           24         0          0          0          0          0              NaN                        
5           24         0          0          0          0          0              NaN                        
10          24         0          0          0          0          0              NaN                        
20          24         0          0          0          0          0              NaN                        
50          24         0          0          0          0          0              NaN                        
75          24         0          0          0          0          0              NaN                        
100         24         0          0          0          0          0              NaN                        
1           25         0          0          0          0          0              NaN                        
5           25         0          0          0          0          0              NaN                        
10          25         0          0          0          0          0              NaN                        
20          25         0          0          0          0          0              NaN                        
50          25         0          0          0          0          0              NaN                        
75          25         0          0          0          0          0              NaN                        
100         25         0          0          0          0          0              NaN                        
1           26         0          0          0          0          0              NaN                        
5           26         0          0          0          0          0              NaN                        
10          26         0          0          0          0          0              NaN                        
20          26         0          0          0          0          0              NaN                        
50          26         0          0          0          0          0              NaN                        
75          26         0          0          0          0          0              NaN                        
100         26         0          0          0          0          0              NaN                        
1           27         0          0          0          0          0              NaN                        
5           27         0          0          0          0          0              NaN                        
10          27         0          0          0          0          0              NaN                        
20          27         0          0          0          0          0              NaN                        
50          27         0          0          0          0          0              NaN                        
75          27         0          0          0          0          0              NaN                        
100         27         0          0          0          0          0              NaN                        
1           28         0          0          0          0          0              NaN                        
5           28         0          0          0          0          0              NaN                        
10          28         0          0          0          0          0              NaN                        
20          28         0          0          0          0          0              NaN                        
50          28         0          0          0          0          0              NaN                        
75          28         0          0          0          0          0              NaN                        
100         28         0          0          0          0          0              NaN                        
1           29         0          0          0          0          0              NaN                        
5           29         0          0          0          0          0              NaN                        
10          29         0          0          0          0          0              NaN                        
20          29         0          0          0          0          0              NaN                        
50          29         0          0          0          0          0              NaN                        
75          29         0          0          0          0          0              NaN                        
100         29         0          0          0          0          0              NaN                        
1           30         0          0          100        100        100             0,00                      
5           30         0          0          100        100        100             0,00                      
10          30         0          0          100        100        100             0,00                      
20          30         0          0          100        100        100             0,00                      
50          30         0          0          100        100        100             0,00                      
75          30         0          0          100        100        100             0,00                      
100         30         0          0          100        100        100             0,00                      
1           31         0          0          100        100        100             0,00                      
5           31         0          0          100        100        100             0,00                      
10          31         0          0          100        100        100             0,00                      
20          31         0          0          100        100        100             0,00                      
50          31         0          0          100        100        100             0,00                      
75          31         0          0          100        100        100             0,00                      
100         31         0          0          100        100        100             0,00                      
1           32         0          0          100        100        100             0,00                      
5           32         0          0          100        100        100             0,00                      
10          32         0          0          100        100        100             0,00                      
20          32         0          0          100        100        100             0,00                      
50          32         0          0          100        100        100             0,00                      
75          32         0          0          100        100        100             0,00                      
100         32         0          0          100        100        100             0,00                      
1           33         100        0          0          100        100            -------------------- 100,00
5           33         100        0          0          100        100            -------------------- 100,00
10          33         100        0          0          100        100            -------------------- 100,00
20          33         100        0          0          100        100            -------------------- 100,00
50          33         100        0          0          100        100            -------------------- 100,00
75          33         100        0          0          100        100            -------------------- 100,00
100         33         100        0          0          100        100            -------------------- 100,00
1           35         0          0          100        100        100             0,00                      
5           35         0          0          100        100        100             0,00                      
10          35         0          0          100        100        100             0,00                      
20          35         0          0          100        100        100             0,00                      
50          35         0          0          100        100        100             0,00                      
75          35         0          0          100        100        100             0,00                      
100         35         0          0          100        100        100             0,00                      
1           36         0          0          100        100        100             0,00                      
5           36         0          0          100        100        100             0,00                      
10          36         0          0          100        100        100             0,00                      
20          36         0          0          100        100        100             0,00                      
50          36         0          0          100        100        100             0,00                      
75          36         0          0          100        100        100             0,00                      
100         36         0          0          100        100        100             0,00                      
1           37         0          0          100        100        100             0,00                      
5           37         0          0          100        100        100             0,00                      
10          37         0          0          100        100        100             0,00                      
20          37         0          0          100        100        100             0,00                      
50          37         0          0          100        100        100             0,00                      
75          37         0          0          100        100        100             0,00                      
100         37         0          0          100        100        100             0,00                      
1           38         100        0          0          100        100            -------------------- 100,00
5           38         100        0          0          100        100            -------------------- 100,00
10          38         100        0          0          100        100            -------------------- 100,00
20          38         100        0          0          100        100            -------------------- 100,00
50          38         100        0          0          100        100            -------------------- 100,00
75          38         100        0          0          100        100            -------------------- 100,00
100         38         100        0          0          100        100            -------------------- 100,00
1           40         0          100        0          100        100             0,00                      
5           40         0          100        0          100        100             0,00                      
10          40         0          100        0          100        100             0,00                      
20          40         0          100        0          100        100             0,00                      
