Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
71         2          1536      
71         3          1536      
71         4          1536      
71         TotalExcRef 7680      
72         0          1536      
72         1          1536      
72         2          1536      
72         3          1536      
72         4          1536      
72         TotalExcRef 7680      
73         0          1536      
73         1          1536      
73         2          1536      
73         3          1536      
73         4          1536      
73         TotalExcRef 7680      
74         0          1536      
74         1          1536      
74         2          1536      
74         3          1536      
74         4          1536      
74         TotalExcRef 7680      
75         0          1536      
75         1          1536      
75         2          1536      
75         3          1536      
75         4          1536      
75         TotalExcRef 7680      
76         0          1536      
76         1          1536      
76         2          1536      
76         3          1536      
76         4          1536      
76         TotalExcRef 7680      
77         0          1536      
77         1          1536      
77         2          1536      
77         3          1536      
77         4          1536      
77         TotalExcRef 7680      
78         0          1536      
78         1          1536      
78         2          1536      
78         3          1536      
78         4          1536      
78         TotalExcRef 7680      
79         0          256       
79         1          256       
79         2          256       
79         3          256       
79         4          256       
79         TotalExcRef 1280      
80         0          256       
80         1          256       
80         2          256       
80         3          256       
80         4          256       
80         TotalExcRef 1280      
81         0          1         
81         1          1         
81         2          1         
81         3          1         
81         4          1         
81         TotalExcRef 5         
82         0          17        
82         1          17        
82         2          17        
82         3          17        
82         4          17        
82         TotalExcRef 85        
83         0          17        
83         1          17        
83         2          17        
83         3          17        
83         4          17        
83         TotalExcRef 85        
85         0          16        
85         1          16        
85         2          16        
85         3          16        
85         4          16        
85         TotalExcRef 80        
86         0          16        
86         1          16        
86         2          16        
86         3          16        
86         4          16        
86         TotalExcRef 80        
87         0          272       
87         1          272       
87         2          272       
87         3          272       
87         4          272       
87         TotalExcRef 1360      
88         0          272       
88         1          272       
88         2          272       
88         3          272       
88         4          272       
88         TotalExcRef 1360      
90         0          256       
90         1          256       
90         2          256       
90         3          256       
90         4          256       
90         TotalExcRef 1280      
91         0          256       
91         1          256       
91         2          256       
91         3          256       
91         4          256       
91         TotalExcRef 1280      
92         0          256       
92         1          256       
92         2          256       
92         3          256       
92         4          256       
92         TotalExcRef 1280      
93         0          256       
93         1          256       
93         2          256       
93         3          256       
93         4          256       
93         TotalExcRef 1280      
94         0          256       
94         1          256       
94         2          256       
94         3          256       
94         4          256       
94         TotalExcRef 1280      
95         0          1792      
95         1          1792      
95         2          1792      
95         3          1792      
95         4          1792      
95         TotalExcRef 8960      
96         0          1792      
96         1          1792      
96         2          1792      
96         3          1792      
96         4          1792      
96         TotalExcRef 8960      
98         0          1536      
98         1          1536      
98         2          1536      
98         3          1536      
98         4          1536      
98         TotalExcRef 7680      
99         0          1536      
99         1          1536      
99         2          1536      
99         3          1536      
99         4          1536      
99         TotalExcRef 7680      
100        0          1536      
100        1          1536      
100        2          1536      
100        3          1536      
100        4          1536      
100        TotalExcRef 7680      
101        0          1536      
101        1          1536      
101        2          1536      
101        3          1536      
101        4          1536      
101        TotalExcRef 7680      
102        0          1536      
102        1          1536      
102        2          1536      
102        3          1536      
102        4          1536      
102        TotalExcRef 7680      
103        0          1536      
103        1          1536      
103        2          1536      
103        3          1536      
103        4          1536      
103        TotalExcRef 7680      
104        0          1536      
104        1          1536      
104        2          1536      
104        3          1536      
104        4          1536      
104        TotalExcRef 7680      
105        0          1536      
105        1          1536      
105        2          1536      
105        3          1536      
105        4          1536      
105        TotalExcRef 7680      
106        0          256       
106        1          256       
106        2          256       
106        3          256       
106        4          256       
106        TotalExcRef 1280      
107        0          1         
107        1          1         
107        2          1         
107        3          1         
107        4          1         
107        TotalExcRef 5         
108        0          15        
108        1          15        
108        2          15        
108        3          15        
108        4          15        
108        TotalExcRef 75        
109        0          15        
109        1          15        
109        2          15        
109        3          15        
109        4          15        
109        TotalExcRef 75        
110        0          15        
110        1          15        
110        2          15        
110        3          15        
110        4          15        
110        TotalExcRef 75        
111        0          15        
111        1          15        
111        2          15        
111        3          15        
111        4          15        
111        TotalExcRef 75        
113        0          14        
113        1          14        
113        2          14        
113        3          14        
113        4          14        
113        TotalExcRef 70        
114        0          14        
114        1          14        
114        2          14        
114        3          14        
114        4          14        
114        TotalExcRef 70        
115        0          238       
115        1          238       
115        2          238       
115        3          238       
115        4          238       
115        TotalExcRef 1190      
116        0          238       
116        1          238       
116        2          238       
116        3          238       
116        4          238       
116        TotalExcRef 1190      
118        0          224       
118        1          224       
118        2          224       
118        3          224       
118        4          224       
118        TotalExcRef 1120      
119        0          224       
119        1          224       
119        2          224       
119        3          224       
119        4          224       
119        TotalExcRef 1120      
120        0          224       
120        1          224       
120        2          224       
120        3          224       
120        4          224       
120        TotalExcRef 1120      
121        0          224       
121        1          224       
121        2          224       
121        3          224       
121        4          224       
121        TotalExcRef 1120      
122        0          224       
122        1          224       
122        2          224       
122        3          224       
122        4          224       
122        TotalExcRef 1120      
123        0          224       
123        1          224       
123        2          224       
123        3          224       
123        4          224       
123        TotalExcRef 1120      
124        0          1568      
124        1          1568      
124        2          1568      
124        3          1568      
124        4          1568      
124        TotalExcRef 7840      
125        0          1568      
