contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
143 perturbation point
PM : Numerical Perturbator
20 list of 100 number
Random numbers generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
1           0          20         0          0          20         20             -------------------- 100,00
5           0          20         0          0          20         20             -------------------- 100,00
10          0          20         0          0          20         20             -------------------- 100,00
20          0          20         0          0          20         20             -------------------- 100,00
50          0          20         0          0          20         20             -------------------- 100,00
75          0          20         0          0          20         20             -------------------- 100,00
100         0          20         0          0          20         20             -------------------- 100,00
1           1          20         0          0          20         20             -------------------- 100,00
5           1          20         0          0          20         20             -------------------- 100,00
10          1          20         0          0          20         20             -------------------- 100,00
20          1          20         0          0          20         20             -------------------- 100,00
50          1          20         0          0          20         20             -------------------- 100,00
75          1          20         0          0          20         20             -------------------- 100,00
100         1          20         0          0          20         20             -------------------- 100,00
1           2          20         0          0          20         20             -------------------- 100,00
5           2          20         0          0          20         20             -------------------- 100,00
10          2          20         0          0          20         20             -------------------- 100,00
20          2          20         0          0          20         20             -------------------- 100,00
50          2          20         0          0          20         20             -------------------- 100,00
75          2          20         0          0          20         20             -------------------- 100,00
100         2          20         0          0          20         20             -------------------- 100,00
1           3          0          0          0          0          0              NaN                        
5           3          0          0          0          0          0              NaN                        
10          3          0          0          0          0          0              NaN                        
20          3          0          0          0          0          0              NaN                        
50          3          0          0          0          0          0              NaN                        
75          3          0          0          0          0          0              NaN                        
100         3          0          0          0          0          0              NaN                        
1           4          1980       20         0          200000     2000           -------------------- 99,00 
5           4          1980       20         0          200000     2000           -------------------- 99,00 
10          4          1980       20         0          200000     2000           -------------------- 99,00 
20          4          1980       20         0          200000     2000           -------------------- 99,00 
50          4          1980       20         0          200000     2000           -------------------- 99,00 
75          4          1980       20         0          200000     2000           -------------------- 99,00 
100         4          1980       20         0          200000     2000           -------------------- 99,00 
1           5          1980       20         0          200000     2000           -------------------- 99,00 
5           5          1980       20         0          200000     2000           -------------------- 99,00 
10          5          1980       20         0          200000     2000           -------------------- 99,00 
20          5          1980       20         0          200000     2000           -------------------- 99,00 
50          5          1980       20         0          200000     2000           -------------------- 99,00 
75          5          1980       20         0          200000     2000           -------------------- 99,00 
100         5          1980       20         0          200000     2000           -------------------- 99,00 
1           6          2000       0          0          200000     2000           -------------------- 100,00
5           6          2000       0          0          200000     2000           -------------------- 100,00
10          6          2000       0          0          200000     2000           -------------------- 100,00
20          6          2000       0          0          200000     2000           -------------------- 100,00
50          6          2000       0          0          200000     2000           -------------------- 100,00
75          6          2000       0          0          200000     2000           -------------------- 100,00
100         6          2000       0          0          200000     2000           -------------------- 100,00
1           7          1980       0          20         198020     2000           -------------------- 99,00 
5           7          1980       0          20         198020     2000           -------------------- 99,00 
10          7          1980       0          20         198020     2000           -------------------- 99,00 
20          7          1980       0          20         198020     2000           -------------------- 99,00 
50          7          1980       0          20         198020     2000           -------------------- 99,00 
75          7          1980       0          20         198020     2000           -------------------- 99,00 
100         7          1980       0          20         198020     2000           -------------------- 99,00 
1           9          0          20         0          20         20              0,00                      
5           9          20         0          0          20         20             -------------------- 100,00
10          9          20         0          0          20         20             -------------------- 100,00
20          9          20         0          0          20         20             -------------------- 100,00
50          9          20         0          0          20         20             -------------------- 100,00
75          9          20         0          0          20         20             -------------------- 100,00
100         9          20         0          0          20         20             -------------------- 100,00
1           10         20         0          0          20         20             -------------------- 100,00
5           10         20         0          0          20         20             -------------------- 100,00
10          10         20         0          0          20         20             -------------------- 100,00
20          10         20         0          0          20         20             -------------------- 100,00
50          10         20         0          0          20         20             -------------------- 100,00
75          10         20         0          0          20         20             -------------------- 100,00
100         10         20         0          0          20         20             -------------------- 100,00
1           11         20         0          0          20         20             -------------------- 100,00
5           11         20         0          0          20         20             -------------------- 100,00
10          11         20         0          0          20         20             -------------------- 100,00
20          11         20         0          0          20         20             -------------------- 100,00
50          11         20         0          0          20         20             -------------------- 100,00
75          11         20         0          0          20         20             -------------------- 100,00
100         11         20         0          0          20         20             -------------------- 100,00
1           12         20         0          0          20         20             -------------------- 100,00
5           12         20         0          0          20         20             -------------------- 100,00
10          12         20         0          0          20         20             -------------------- 100,00
20          12         20         0          0          20         20             -------------------- 100,00
50          12         20         0          0          20         20             -------------------- 100,00
75          12         20         0          0          20         20             -------------------- 100,00
100         12         20         0          0          20         20             -------------------- 100,00
1           14         0          0          0          0          0              NaN                        
5           14         0          0          0          0          0              NaN                        
10          14         0          0          0          0          0              NaN                        
20          14         0          0          0          0          0              NaN                        
50          14         0          0          0          0          0              NaN                        
75          14         0          0          0          0          0              NaN                        
100         14         0          0          0          0          0              NaN                        
1           15         0          20         0          20         20              0,00                      
5           15         0          20         0          20         20              0,00                      
10          15         0          20         0          20         20              0,00                      
20          15         0          20         0          20         20              0,00                      
50          15         0          20         0          20         20              0,00                      
75          15         0          20         0          20         20              0,00                      
100         15         0          20         0          20         20              0,00                      
1           16         4540       0          20         1039660    4560           -------------------- 99,56 
5           16         4460       0          100        1039380    4560           -------------------- 97,81 
10          16         4360       0          200        1038580    4560           -------------------- 95,61 
20          16         4160       0          400        1035480    4560           ------------------- 91,23  
50          16         3560       0          1000       1014180    4560           ---------------- 78,07     
75          16         3060       0          1500       982680     4560           -------------- 67,11       
100         16         2560       0          2000       938680     4560           ------------ 56,14         
1           17         4540       0          20         1039680    4560           -------------------- 99,56 
5           17         4540       0          20         1039680    4560           -------------------- 99,56 
10          17         4540       0          20         1039680    4560           -------------------- 99,56 
20          17         4540       0          20         1039680    4560           -------------------- 99,56 
50          17         4540       0          20         1039680    4560           -------------------- 99,56 
75          17         4540       0          20         1039680    4560           -------------------- 99,56 
100         17         4540       0          20         1039680    4560           -------------------- 99,56 
1           18         4540       0          20         1039660    4560           -------------------- 99,56 
5           18         4460       0          100        1039380    4560           -------------------- 97,81 
10          18         4360       0          200        1038580    4560           -------------------- 95,61 
20          18         4160       0          400        1035480    4560           ------------------- 91,23  
50          18         3560       0          1000       1014180    4560           ---------------- 78,07     
75          18         3060       0          1500       982680     4560           -------------- 67,11       
100         18         2560       0          2000       938680     4560           ------------ 56,14         
1           19         4540       0          20         1039680    4560           -------------------- 99,56 
5           19         4540       0          20         1039680    4560           -------------------- 99,56 
10          19         4540       0          20         1039680    4560           -------------------- 99,56 
20          19         4540       0          20         1039680    4560           -------------------- 99,56 
50          19         4540       0          20         1039680    4560           -------------------- 99,56 
75          19         4540       0          20         1039680    4560           -------------------- 99,56 
100         19         4540       0          20         1039680    4560           -------------------- 99,56 
1           21         3516       1024       0          1030580    4540           ---------------- 77,44     
5           21         3545       995        0          1030580    4540           ---------------- 78,08     
10          21         3529       1011       0          1030580    4540           ---------------- 77,73     
