Loc P     Succ Pull
0   1,00  20   20  
1   1,00  20   20  
2   0,00  0    5   
3   1,00  19   19  
4   1,00  19   19  
5   1,00  20   20  
6   1,00  19   19  
7   1,00  19   19  
8   1,00  19   19  
9   1,00  19   19  
10  1,00  19   19  
11  1,00  20   20  
12  1,00  19   19  
13  0,33  2    6   
14  1,00  20   20  
15  1,00  19   19  
16  0,50  4    8   
17  0,00  0    5   
18  0,77  10   13  
19  0,73  8    11  
20  0,33  2    6   
21  1,00  19   19  
22  0,56  5    9   
23  NaN   0    0   
24  NaN   0    0   
25  NaN   0    0   
26  NaN   0    0   
27  NaN   0    0   
28  NaN   0    0   
29  NaN   0    0   
30  0,00  0    5   
31  0,00  0    5   
32  0,75  9    12  
33  0,73  8    11  
34  0,60  6    10  
35  0,00  0    5   
36  NaN   0    0   
37  NaN   0    0   
38  NaN   0    0   
39  0,00  0    5   
40  NaN   0    0   
41  NaN   0    0   
42  NaN   0    0   
43  NaN   0    0   
44  NaN   0    0   
45  NaN   0    0   
46  NaN   0    0   
47  NaN   0    0   
48  NaN   0    0   
49  NaN   0    0   
50  NaN   0    0   
51  NaN   0    0   
52  NaN   0    0   
53  NaN   0    0   
54  NaN   0    0   
55  0,33  2    6   
56  0,56  5    9   
57  0,73  8    11  
58  0,00  0    5   
59  NaN   0    0   
60  NaN   0    0   
61  NaN   0    0   
62  NaN   0    0   
63  NaN   0    0   
64  NaN   0    0   
65  1,00  19   19  
66  1,00  19   19  
67  1,00  19   19  
68  1,00  19   19  
69  0,00  0    5   
70  0,73  8    11  
71  1,00  19   19  
72  1,00  19   19  
73  1,00  19   19  
74  0,00  0    5   
75  NaN   0    0   
76  NaN   0    0   
77  0,00  0    5   
78  1,00  19   19  
79  1,00  19   19  
80  0,00  0    5   
81  1,00  20   20  
82  1,00  19   19  
83  0,00  0    5   
84  0,00  0    5   
85  NaN   0    0   
86  NaN   0    0   
87  NaN   0    0   
88  NaN   0    0   
89  0,00  0    5   
90  0,00  0    5   
91  1,00  20   20  
92  1,00  19   19  
93  0,00  0    5   
94  1,00  19   19  
95  0,00  0    5   
96  0,00  0    5   
97  0,00  0    5   
98  0,00  0    5   
99  0,00  0    5   
100 0,00  0    5   
101 0,00  0    5   
102 0,00  0    5   
103 0,00  0    5   
104 1,00  19   19  
105 0,00  0    5   
106 0,00  0    5   
107 0,00  0    5   
108 0,00  0    5   
109 0,00  0    5   
110 1,00  19   19  
111 0,00  0    5   
112 0,00  0    5   
113 0,00  0    5   
114 0,00  0    5   
115 0,00  0    5   
116 0,00  0    5   
117 0,00  0    5   
118 0,00  0    5   
119 0,00  0    5   
120 0,00  0    5   
121 0,00  0    5   
122 0,00  0    5   
123 0,00  0    5   
124 0,00  0    5   
125 0,00  0    5   
126 0,00  0    5   
127 0,00  0    5   
128 0,00  0    5   
129 0,00  0    5   
130 0,00  0    5   
131 0,00  0    5   
132 0,00  0    5   
133 0,00  0    5   
134 0,00  0    5   
135 0,00  0    5   
136 0,00  0    5   
-------------- 67,37
