contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
19 perturbation point
PM : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
1           0          20         0          0          20         20             -------------------- 100,00
5           0          20         0          0          20         20             -------------------- 100,00
10          0          20         0          0          20         20             -------------------- 100,00
20          0          20         0          0          20         20             -------------------- 100,00
50          0          20         0          0          20         20             -------------------- 100,00
75          0          20         0          0          20         20             -------------------- 100,00
100         0          20         0          0          20         20             -------------------- 100,00
1           1          11         0          9          20         20             ------------ 55,00         
5           1          3          0          17         20         20             --- 15,00                  
10          1          0          0          20         20         20              0,00                      
20          1          0          0          20         20         20              0,00                      
50          1          0          0          20         20         20              0,00                      
75          1          0          0          20         20         20              0,00                      
100         1          0          0          20         20         20              0,00                      
1           2          5134       0          6          1320960    5140           -------------------- 99,88 
5           2          5073       0          67         1320680    5140           -------------------- 98,70 
10          2          4976       0          164        1319880    5140           -------------------- 96,81 
20          2          4776       0          364        1316780    5140           ------------------- 92,92  
50          2          4176       0          964        1295480    5140           ----------------- 81,25    
75          2          3676       0          1464       1263980    5140           --------------- 71,52      
100         2          3176       0          1964       1219980    5140           ------------- 61,79        
1           3          5140       0          0          1321000    5140           -------------------- 100,00
5           3          5140       0          0          1321000    5140           -------------------- 100,00
10          3          5140       0          0          1321000    5140           -------------------- 100,00
20          3          5140       0          0          1321000    5140           -------------------- 100,00
50          3          5140       0          0          1321000    5140           -------------------- 100,00
75          3          5140       0          0          1321000    5140           -------------------- 100,00
100         3          5140       0          0          1321000    5140           -------------------- 100,00
1           5          3488       0          1632       1310720    5120           -------------- 68,13       
5           5          3488       0          1632       1310720    5120           -------------- 68,13       
10          5          3488       0          1632       1310720    5120           -------------- 68,13       
20          5          3488       0          1632       1310720    5120           -------------- 68,13       
50          5          3488       0          1632       1310720    5120           -------------- 68,13       
75          5          3488       0          1632       1310720    5120           -------------- 68,13       
100         5          3488       0          1632       1310720    5120           -------------- 68,13       
1           6          0          20         0          20         20              0,00                      
5           6          0          20         0          20         20              0,00                      
10          6          0          20         0          20         20              0,00                      
20          6          0          20         0          20         20              0,00                      
50          6          0          20         0          20         20              0,00                      
75          6          0          20         0          20         20              0,00                      
100         6          0          0          20         20         20              0,00                      
1           7          1980       0          0          196020     1980           -------------------- 100,00
5           7          1979       0          1          195925     1980           -------------------- 99,95 
10          7          1976       0          4          195641     1980           -------------------- 99,80 
20          7          1955       0          25         193762     1980           -------------------- 98,74 
50          7          1865       0          115        186545     1980           ------------------- 94,19  
75          7          1749       0          231        178618     1980           ------------------ 88,33   
100         7          1568       0          412        168692     1980           ---------------- 79,19     
1           9          0          1980       0          196020     1980            0,00                      
5           9          0          1979       1          195925     1980            0,00                      
10          9          0          1976       4          195641     1980            0,00                      
20          9          0          1955       25         193762     1980            0,00                      
50          9          0          1865       115        186545     1980            0,00                      
75          9          0          1749       231        178618     1980            0,00                      
100         9          0          1568       412        168692     1980            0,00                      
1           10         0          0          0          0          0              NaN                        
5           10         0          0          0          0          0              NaN                        
10          10         0          0          0          0          0              NaN                        
20          10         0          0          0          0          0              NaN                        
50          10         0          0          0          0          0              NaN                        
75          10         0          0          0          0          0              NaN                        
100         10         0          0          0          0          0              NaN                        
1           11         0          0          0          0          0              NaN                        
5           11         0          0          0          0          0              NaN                        
10          11         0          0          0          0          0              NaN                        
20          11         0          0          0          0          0              NaN                        
50          11         0          0          0          0          0              NaN                        
75          11         0          0          0          0          0              NaN                        
100         11         0          0          0          0          0              NaN                        
1           13         0          0          0          0          0              NaN                        
5           13         0          0          0          0          0              NaN                        
10          13         0          0          0          0          0              NaN                        
20          13         0          0          0          0          0              NaN                        
50          13         0          0          0          0          0              NaN                        
75          13         0          0          0          0          0              NaN                        
100         13         0          0          0          0          0              NaN                        
1           14         0          0          1980       99000      1980            0,00                      
5           14         0          0          1980       99000      1980            0,00                      
10          14         0          0          1980       99000      1980            0,00                      
20          14         0          0          1980       99000      1980            0,00                      
50          14         0          0          1980       99000      1980            0,00                      
75          14         0          0          1980       99000      1980            0,00                      
100         14         0          0          1980       99000      1980            0,00                      
1           15         20         0          0          20         20             -------------------- 100,00
5           15         20         0          0          20         20             -------------------- 100,00
10          15         20         0          0          20         20             -------------------- 100,00
20          15         20         0          0          20         20             -------------------- 100,00
50          15         20         0          0          20         20             -------------------- 100,00
75          15         20         0          0          20         20             -------------------- 100,00
100         15         20         0          0          20         20             -------------------- 100,00
1           16         11         0          9          20         20             ------------ 55,00         
5           16         3          0          17         20         20             --- 15,00                  
10          16         0          0          20         20         20              0,00                      
20          16         0          0          20         20         20              0,00                      
50          16         0          0          20         20         20              0,00                      
75          16         0          0          20         20         20              0,00                      
100         16         0          0          20         20         20              0,00                      
1           17         5134       0          6          1320960    5140           -------------------- 99,88 
5           17         5073       0          67         1320680    5140           -------------------- 98,70 
10          17         4976       0          164        1319880    5140           -------------------- 96,81 
20          17         4776       0          364        1316780    5140           ------------------- 92,92  
50          17         4176       0          964        1295480    5140           ----------------- 81,25    
75          17         3676       0          1464       1263980    5140           --------------- 71,52      
100         17         3176       0          1964       1219980    5140           ------------- 61,79        
1           18         5140       0          0          1321000    5140           -------------------- 100,00
5           18         5140       0          0          1321000    5140           -------------------- 100,00
10          18         5140       0          0          1321000    5140           -------------------- 100,00
20          18         5140       0          0          1321000    5140           -------------------- 100,00
50          18         5140       0          0          1321000    5140           -------------------- 100,00
75          18         5140       0          0          1321000    5140           -------------------- 100,00
100         18         5140       0          0          1321000    5140           -------------------- 100,00
1           20         3475       1645       0          1310720    5120           -------------- 67,87       
5           20         3475       1644       1          1310720    5120           -------------- 67,87       
10          20         3475       1642       3          1310720    5120           -------------- 67,87       
20          20         3475       1624       21         1310720    5120           -------------- 67,87       
50          20         3475       1542       103        1310720    5120           -------------- 67,87       
75          20         3475       1440       205        1310720    5120           -------------- 67,87       
100         20         3475       1290       355        1310720    5120           -------------- 67,87       
1           22         0          1980       0          196020     1980            0,00                      
5           22         0          1979       1          196020     1980            0,00                      
10          22         0          1977       3          196020     1980            0,00                      
20          22         0          1957       23         196020     1980            0,00                      
50          22         0          1870       110        196020     1980            0,00                      
75          22         0          1756       224        196020     1980            0,00                      
100         22         0          1572       408        196020     1980            0,00                      
1           24         0          20         0          20         20              0,00                      
5           24         0          20         0          20         20              0,00                      
10          24         0          20         0          20         20              0,00                      
20          24         0          20         0          20         20              0,00                      
50          24         0          20         0          20         20              0,00                      
75          24         0          20         0          20         20              0,00                      
100         24         0          20         0          20         20              0,00                      
