Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
19         18         96        
19         19         114       
19         20         109       
19         21         87        
19         22         117       
19         23         87        
19         24         87        
19         TotalExcRef 2631      
20         0          126       
20         1          89        
20         2          126       
20         3          81        
20         4          126       
20         5          95        
20         6          126       
20         7          87        
20         8          126       
20         9          126       
20         10         80        
20         11         129       
20         12         77        
20         13         129       
20         14         77        
20         15         129       
20         16         78        
20         17         127       
20         18         96        
20         19         114       
20         20         109       
20         21         87        
20         22         117       
20         23         87        
20         24         87        
20         TotalExcRef 2631      
21         0          126       
21         1          89        
21         2          126       
21         3          81        
21         4          126       
21         5          95        
21         6          126       
21         7          87        
21         8          126       
21         9          126       
21         10         80        
21         11         129       
21         12         77        
21         13         129       
21         14         77        
21         15         129       
21         16         78        
21         17         127       
21         18         96        
21         19         114       
21         20         109       
21         21         87        
21         22         117       
21         23         87        
21         24         87        
21         TotalExcRef 2631      
22         0          126       
22         1          89        
22         2          126       
22         3          81        
22         4          126       
22         5          95        
22         6          126       
22         7          87        
22         8          126       
22         9          126       
22         10         80        
22         11         129       
22         12         77        
22         13         129       
22         14         77        
22         15         129       
22         16         78        
22         17         127       
22         18         96        
22         19         114       
22         20         109       
22         21         87        
22         22         117       
22         23         87        
22         24         87        
22         TotalExcRef 2631      
23         0          126       
23         1          89        
23         2          126       
23         3          81        
23         4          126       
23         5          95        
23         6          126       
23         7          87        
23         8          126       
23         9          126       
23         10         80        
23         11         129       
23         12         77        
23         13         129       
23         14         77        
23         15         129       
23         16         78        
23         17         127       
23         18         96        
23         19         114       
23         20         109       
23         21         87        
23         22         117       
23         23         87        
23         24         87        
23         TotalExcRef 2631      
24         0          126       
24         1          89        
24         2          126       
24         3          81        
24         4          126       
24         5          95        
24         6          126       
24         7          87        
24         8          126       
24         9          126       
24         10         80        
24         11         129       
24         12         77        
24         13         129       
24         14         77        
24         15         129       
24         16         78        
24         17         127       
24         18         96        
24         19         114       
24         20         109       
24         21         87        
24         22         117       
24         23         87        
24         24         87        
24         TotalExcRef 2631      
25         0          126       
25         1          89        
25         2          126       
25         3          81        
25         4          126       
25         5          95        
25         6          126       
25         7          87        
25         8          126       
25         9          126       
25         10         80        
25         11         129       
25         12         77        
25         13         129       
25         14         77        
25         15         129       
25         16         78        
25         17         127       
25         18         96        
25         19         114       
25         20         109       
25         21         87        
25         22         117       
25         23         87        
25         24         87        
25         TotalExcRef 2631      
26         0          126       
26         1          89        
26         2          126       
26         3          81        
26         4          126       
26         5          95        
26         6          126       
26         7          87        
26         8          126       
26         9          126       
26         10         80        
26         11         129       
26         12         77        
26         13         129       
26         14         77        
26         15         129       
26         16         78        
26         17         127       
26         18         96        
26         19         114       
26         20         109       
26         21         87        
26         22         117       
26         23         87        
26         24         87        
26         TotalExcRef 2631      
27         0          126       
27         1          89        
27         2          126       
27         3          81        
27         4          126       
27         5          95        
27         6          126       
27         7          87        
27         8          126       
27         9          126       
27         10         80        
27         11         129       
27         12         77        
27         13         129       
27         14         77        
27         15         129       
27         16         78        
27         17         127       
27         18         96        
27         19         114       
27         20         109       
27         21         87        
27         22         117       
27         23         87        
